ADM2_EN,ANNUAL AVERAGE ,POPULATION,CASES,CASES AVERAGE
Bagerhat,2370,1613076,128,7.935149987
Bandarban,4322,481109,170,35.33502803
Barguna,3024,1010531,383,37.90086598
Barisal,2174,2570446,1299,50.53597702
Bhola,3902,1932518,194,10.03871633
Bogra,1883,3734300,189,5.061189513
Brahamanbaria,2446,3306563,80,2.41943069
Chandpur,2725,2635748,213,8.081197444
Chittagong,3661,9169464,3970,43.29587858
Chuadanga,1672,1234054,8,0.648269849
Comilla,3293,6212216,273,4.394567092
Cox's Bazar,6378,2823265,1840,65.17276983
Dhaka,2490,14734701,34234,232.3358988
Dinajpur,1897,3315238,77,2.322608513
Faridpur,1934,2162879,525,24.27320252
Feni,3025,1648896,210,12.73579413
Gaibandha,1910,2562232,0,0
Gazipur,2317,5263450,582,11.05738632
Gopalganj,2301,1295057,72,5.559600852
Habiganj,2959,2358886,8,0.339143138
Jamalpur,1818,2499738,97,3.880406667
Jessore,2031,3076144,843,27.4044388
Jhalokati,2838,661160,93,14.0661867
Jhenaidah,1986,2005849,92,4.586586528
Joypurhat,1763,956430,14,1.463776753
Khagrachhari,3203,714119,37,5.181209294
Khulna,2474,2613385,738,28.23923762
Kishoreganj,2347,3267626,264,8.079259989
Kurigram,2202,2329161,0,0
Kushtia,1490,2149692,475,22.09618866
Lakshmipur,4004,1937948,133,6.862929243
Lalmonirhat,1835,1428406,8,0.560064856
Madaripur,2143,1293027,433,33.4873131
Magura,1667,1033115,186,18.00380403
Manikganj,2116,1558025,248,15.91758797
Maulvibazar,2421,2123445,13,0.612212702
Meherpur,2780,705356,26,3.686081922
Munshiganj,4239,1625416,101,6.213793884
Mymensingh,2473,5899005,651,11.03575942
Naogaon,1496,2784598,83,2.980681592
Narail,1576,788673,335,42.47641291
Narayanganj,2104,3909138,471,12.04869206
Narsingdi,2410,2584452,107,4.140142669
Natore,2180,1859921,95,5.107743824
Nawabganj,1329,1835527,88,4.794263446
Netrakona,3040,2324853,48,2.064646668
Nilphamari,2467,2092567,17,0.812399316
Noakhali,4107,3625442,31,0.855068154
Pabna,2042,2909622,907,31.17243408
Panchagarh,2434,1179843,3,0.254271119
Patuakhali,2541,1727254,243,14.06857359
Pirojpur,2053,1198195,455,37.97378557
Rajbari,4836,1189818,100,8.404646761
Rajshahi,1515,2909622,438,15.0535018
Rangamati,1968,647587,30,4.632582186
Rangpur,2880,3169615,30,0.946487192
Satkhira,1768,2196582,63,2.868092336
Shariatpur,2585,1294562,80,6.179696299
Sherpur,3031,1501853,60,3.995064763
Sirajganj,2803,3357708,57,1.697586568
Sunamganj,5413,2695495,7,0.259692561
Sylhet,7378,3857037,84,2.177837547
Tangail,1590,4037608,60,1.486028361
Thakurgaon,1937,1533894,8,0.521548425
